Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Fireworks,Fireworks,0.0378,/home/pibird/audiobirder/station/data/segments/2025-06-24_16-56-33.wav
0.0,3.0,Engine,Engine,0.0304,/home/pibird/audiobirder/station/data/segments/2025-06-24_16-56-33.wav
0.0,3.0,Sphyrapicus varius,Yellow-bellied Sapsucker,0.0273,/home/pibird/audiobirder/station/data/segments/2025-06-24_16-56-33.wav
0.0,3.0,Human vocal,Human vocal,0.0195,/home/pibird/audiobirder/station/data/segments/2025-06-24_16-56-33.wav
0.0,3.0,Spinus tristis,American Goldfinch,0.0190,/home/pibird/audiobirder/station/data/segments/2025-06-24_16-56-33.wav
3.0,6.0,Porzana porzana,Spotted Crake,0.2017,/home/pibird/audiobirder/station/data/segments/2025-06-24_16-56-33.wav
3.0,6.0,Human vocal,Human vocal,0.0259,/home/pibird/audiobirder/station/data/segments/2025-06-24_16-56-33.wav
3.0,6.0,Passer domesticus,House Sparrow,0.0231,/home/pibird/audiobirder/station/data/segments/2025-06-24_16-56-33.wav
3.0,6.0,Locustella luscinioides,Savi's Warbler,0.0119,/home/pibird/audiobirder/station/data/segments/2025-06-24_16-56-33.wav
3.0,6.0,Chroicocephalus ridibundus,Black-headed Gull,0.0111,/home/pibird/audiobirder/station/data/segments/2025-06-24_16-56-33.wav
6.0,9.0,Turdus merula,Eurasian Blackbird,0.7000,/home/pibird/audiobirder/station/data/segments/2025-06-24_16-56-33.wav
6.0,9.0,Turdus philomelos,Song Thrush,0.0362,/home/pibird/audiobirder/station/data/segments/2025-06-24_16-56-33.wav
6.0,9.0,Turdus migratorius,American Robin,0.0207,/home/pibird/audiobirder/station/data/segments/2025-06-24_16-56-33.wav
6.0,9.0,Turdus unicolor,Tickell's Thrush,0.0162,/home/pibird/audiobirder/station/data/segments/2025-06-24_16-56-33.wav
6.0,9.0,Pica pica,Eurasian Magpie,0.0144,/home/pibird/audiobirder/station/data/segments/2025-06-24_16-56-33.wav
9.0,12.0,Turdus merula,Eurasian Blackbird,0.3232,/home/pibird/audiobirder/station/data/segments/2025-06-24_16-56-33.wav
9.0,12.0,Turdus hortulorum,Gray-backed Thrush,0.1223,/home/pibird/audiobirder/station/data/segments/2025-06-24_16-56-33.wav
9.0,12.0,Hippolais icterina,Icterine Warbler,0.0145,/home/pibird/audiobirder/station/data/segments/2025-06-24_16-56-33.wav
9.0,12.0,Turdus pallidus,Pale Thrush,0.0138,/home/pibird/audiobirder/station/data/segments/2025-06-24_16-56-33.wav
9.0,12.0,Turdus simillimus,Indian Blackbird,0.0084,/home/pibird/audiobirder/station/data/segments/2025-06-24_16-56-33.wav
12.0,15.0,Acrocephalus scirpaceus,Eurasian Reed Warbler,0.0476,/home/pibird/audiobirder/station/data/segments/2025-06-24_16-56-33.wav
12.0,15.0,Tityra semifasciata,Masked Tityra,0.0422,/home/pibird/audiobirder/station/data/segments/2025-06-24_16-56-33.wav
12.0,15.0,Troglodytes aedon,House Wren,0.0278,/home/pibird/audiobirder/station/data/segments/2025-06-24_16-56-33.wav
12.0,15.0,Anas crecca,Green-winged Teal,0.0232,/home/pibird/audiobirder/station/data/segments/2025-06-24_16-56-33.wav
12.0,15.0,Geothlypis trichas,Common Yellowthroat,0.0164,/home/pibird/audiobirder/station/data/segments/2025-06-24_16-56-33.wav
15.0,18.0,Chordeiles minor,Common Nighthawk,0.0567,/home/pibird/audiobirder/station/data/segments/2025-06-24_16-56-33.wav
15.0,18.0,Porzana porzana,Spotted Crake,0.0353,/home/pibird/audiobirder/station/data/segments/2025-06-24_16-56-33.wav
15.0,18.0,Passer domesticus,House Sparrow,0.0251,/home/pibird/audiobirder/station/data/segments/2025-06-24_16-56-33.wav
15.0,18.0,Stelgidopteryx serripennis,Northern Rough-winged Swallow,0.0161,/home/pibird/audiobirder/station/data/segments/2025-06-24_16-56-33.wav
15.0,18.0,Emberiza schoeniclus,Reed Bunting,0.0138,/home/pibird/audiobirder/station/data/segments/2025-06-24_16-56-33.wav
18.0,20.0,Porzana porzana,Spotted Crake,0.2016,/home/pibird/audiobirder/station/data/segments/2025-06-24_16-56-33.wav
18.0,20.0,Spinus tristis,American Goldfinch,0.0199,/home/pibird/audiobirder/station/data/segments/2025-06-24_16-56-33.wav
18.0,20.0,Empidonax alnorum,Alder Flycatcher,0.0134,/home/pibird/audiobirder/station/data/segments/2025-06-24_16-56-33.wav
18.0,20.0,Geothlypis trichas,Common Yellowthroat,0.0122,/home/pibird/audiobirder/station/data/segments/2025-06-24_16-56-33.wav
18.0,20.0,Engine,Engine,0.0110,/home/pibird/audiobirder/station/data/segments/2025-06-24_16-56-33.wav
