Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Strix hylophila,Rusty-barred Owl,0.0263,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-33-53.wav
0.0,3.0,Buteo jamaicensis,Red-tailed Hawk,0.0241,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-33-53.wav
0.0,3.0,Butorides virescens,Green Heron,0.0223,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-33-53.wav
0.0,3.0,Ninox boobook,Southern Boobook,0.0178,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-33-53.wav
0.0,3.0,Human vocal,Human vocal,0.0178,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-33-53.wav
3.0,6.0,Elanus caeruleus,Black-winged Kite,0.2015,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-33-53.wav
3.0,6.0,Porzana porzana,Spotted Crake,0.0949,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-33-53.wav
3.0,6.0,Tyto alba,Barn Owl,0.0717,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-33-53.wav
3.0,6.0,Surnia ulula,Northern Hawk Owl,0.0650,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-33-53.wav
3.0,6.0,Callocephalon fimbriatum,Gang-gang Cockatoo,0.0386,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-33-53.wav
6.0,9.0,Buteo jamaicensis,Red-tailed Hawk,0.1485,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-33-53.wav
6.0,9.0,Accipiter gentilis,Northern Goshawk,0.0603,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-33-53.wav
6.0,9.0,Setophaga pinus,Pine Warbler,0.0414,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-33-53.wav
6.0,9.0,Tyto alba,Barn Owl,0.0233,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-33-53.wav
6.0,9.0,Strix uralensis,Ural Owl,0.0231,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-33-53.wav
9.0,12.0,Porzana porzana,Spotted Crake,0.4753,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-33-53.wav
9.0,12.0,Fulica atra,Eurasian Coot,0.0099,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-33-53.wav
9.0,12.0,Branta canadensis,Canada Goose,0.0085,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-33-53.wav
9.0,12.0,Anser anser,Graylag Goose,0.0074,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-33-53.wav
9.0,12.0,Rallus aquaticus,Water Rail,0.0042,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-33-53.wav
12.0,15.0,Porzana porzana,Spotted Crake,0.1566,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-33-53.wav
12.0,15.0,Tyto alba,Barn Owl,0.0941,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-33-53.wav
12.0,15.0,Elanus caeruleus,Black-winged Kite,0.0597,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-33-53.wav
12.0,15.0,Buteo jamaicensis,Red-tailed Hawk,0.0242,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-33-53.wav
12.0,15.0,Rallus aquaticus,Water Rail,0.0119,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-33-53.wav
15.0,18.0,Porzana porzana,Spotted Crake,0.0626,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-33-53.wav
15.0,18.0,Tyto alba,Barn Owl,0.0530,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-33-53.wav
15.0,18.0,Elanus caeruleus,Black-winged Kite,0.0455,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-33-53.wav
15.0,18.0,Gyps fulvus,Eurasian Griffon,0.0431,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-33-53.wav
15.0,18.0,Fulica atra,Eurasian Coot,0.0214,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-33-53.wav
18.0,20.0,Porzana porzana,Spotted Crake,0.3303,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-33-53.wav
18.0,20.0,Elanus caeruleus,Black-winged Kite,0.0328,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-33-53.wav
18.0,20.0,Strepera versicolor,Gray Currawong,0.0251,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-33-53.wav
18.0,20.0,Pachycephala inornata,Gilbert's Whistler,0.0216,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-33-53.wav
18.0,20.0,Burhinus oedicnemus,Eurasian Thick-knee,0.0182,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-33-53.wav
