Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Human vocal,Human vocal,0.0851,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-40-26.wav
0.0,3.0,Haemorhous mexicanus,House Finch,0.0600,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-40-26.wav
0.0,3.0,Engine,Engine,0.0369,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-40-26.wav
0.0,3.0,Porzana porzana,Spotted Crake,0.0204,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-40-26.wav
0.0,3.0,Sayornis saya,Say's Phoebe,0.0194,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-40-26.wav
3.0,6.0,Leucosticte tephrocotis,Gray-crowned Rosy-Finch,0.0383,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-40-26.wav
3.0,6.0,Haemorhous mexicanus,House Finch,0.0257,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-40-26.wav
3.0,6.0,Porzana porzana,Spotted Crake,0.0224,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-40-26.wav
3.0,6.0,Human vocal,Human vocal,0.0170,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-40-26.wav
3.0,6.0,Sayornis saya,Say's Phoebe,0.0158,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-40-26.wav
6.0,9.0,Chordeiles minor,Common Nighthawk,0.0543,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-40-26.wav
6.0,9.0,Porzana porzana,Spotted Crake,0.0270,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-40-26.wav
6.0,9.0,Haemorhous purpureus,Purple Finch,0.0264,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-40-26.wav
6.0,9.0,Vireo cassinii,Cassin's Vireo,0.0262,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-40-26.wav
6.0,9.0,Passer domesticus,House Sparrow,0.0192,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-40-26.wav
9.0,12.0,Branta canadensis,Canada Goose,0.1251,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-40-26.wav
9.0,12.0,Human vocal,Human vocal,0.0846,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-40-26.wav
9.0,12.0,Agelaius phoeniceus,Red-winged Blackbird,0.0769,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-40-26.wav
9.0,12.0,Passer domesticus,House Sparrow,0.0225,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-40-26.wav
9.0,12.0,Haemorhous mexicanus,House Finch,0.0157,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-40-26.wav
12.0,15.0,Quiscalus quiscula,Common Grackle,0.0617,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-40-26.wav
12.0,15.0,Euphagus carolinus,Rusty Blackbird,0.0289,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-40-26.wav
12.0,15.0,Agelaius phoeniceus,Red-winged Blackbird,0.0274,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-40-26.wav
12.0,15.0,Branta canadensis,Canada Goose,0.0145,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-40-26.wav
12.0,15.0,Leucosticte tephrocotis,Gray-crowned Rosy-Finch,0.0126,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-40-26.wav
15.0,18.0,Human vocal,Human vocal,0.1299,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-40-26.wav
15.0,18.0,Cygnus buccinator,Trumpeter Swan,0.0481,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-40-26.wav
15.0,18.0,Porzana porzana,Spotted Crake,0.0198,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-40-26.wav
15.0,18.0,Geronticus eremita,Northern Bald Ibis,0.0184,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-40-26.wav
15.0,18.0,Passer domesticus,House Sparrow,0.0177,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-40-26.wav
18.0,20.0,Spatula clypeata,Northern Shoveler,0.0301,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-40-26.wav
18.0,20.0,Phasianus colchicus,Ring-necked Pheasant,0.0281,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-40-26.wav
18.0,20.0,Lithobates catesbeianus,American Bullfrog,0.0198,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-40-26.wav
18.0,20.0,Fulica americana,American Coot,0.0158,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-40-26.wav
18.0,20.0,Gallinula chloropus,Eurasian Moorhen,0.0157,/home/pibird/audiobirder/station/data/segments/2025-07-01_09-40-26.wav
