Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Grallaricula leymebambae,Leymebamba Antpitta,0.1001,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_12-17-27.wav
0.0,3.0,Dryobates minor,Lesser Spotted Woodpecker,0.0415,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_12-17-27.wav
0.0,3.0,Loxia curvirostra,Red Crossbill,0.0408,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_12-17-27.wav
0.0,3.0,Catherpes mexicanus,Canyon Wren,0.0278,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_12-17-27.wav
0.0,3.0,Actitis macularius,Spotted Sandpiper,0.0242,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_12-17-27.wav
3.0,6.0,Turdus merula,Eurasian Blackbird,0.3452,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_12-17-27.wav
3.0,6.0,Palmeria dolei,Akohekohe,0.0736,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_12-17-27.wav
3.0,6.0,Himatione sanguinea,Apapane,0.0356,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_12-17-27.wav
3.0,6.0,Pseudonestor xanthophrys,Maui Parrotbill,0.0265,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_12-17-27.wav
3.0,6.0,Toxostoma cinereum,Gray Thrasher,0.0184,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_12-17-27.wav
6.0,9.0,Emberiza citrinella,Yellowhammer,0.2932,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_12-17-27.wav
6.0,9.0,Tachycineta bicolor,Tree Swallow,0.1072,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_12-17-27.wav
6.0,9.0,Cinclus mexicanus,American Dipper,0.0661,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_12-17-27.wav
6.0,9.0,Toxostoma crissale,Crissal Thrasher,0.0642,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_12-17-27.wav
6.0,9.0,Prunella modularis,Dunnock,0.0230,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_12-17-27.wav
9.0,12.0,Emberiza citrinella,Yellowhammer,0.1556,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_12-17-27.wav
9.0,12.0,Prunella modularis,Dunnock,0.0733,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_12-17-27.wav
9.0,12.0,Salpinctes obsoletus,Rock Wren,0.0436,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_12-17-27.wav
9.0,12.0,Dryobates minor,Lesser Spotted Woodpecker,0.0338,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_12-17-27.wav
9.0,12.0,Zonotrichia leucophrys,White-crowned Sparrow,0.0224,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_12-17-27.wav
12.0,15.0,Turdus merula,Eurasian Blackbird,0.2608,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_12-17-27.wav
12.0,15.0,Pseudonestor xanthophrys,Maui Parrotbill,0.0855,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_12-17-27.wav
12.0,15.0,Icterus parisorum,Scott's Oriole,0.0540,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_12-17-27.wav
12.0,15.0,Toxostoma cinereum,Gray Thrasher,0.0349,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_12-17-27.wav
12.0,15.0,Hippolais icterina,Icterine Warbler,0.0202,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_12-17-27.wav
15.0,18.0,Polioptila melanura,Black-tailed Gnatcatcher,0.0510,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_12-17-27.wav
15.0,18.0,Dryobates minor,Lesser Spotted Woodpecker,0.0375,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_12-17-27.wav
15.0,18.0,Erithacus rubecula,European Robin,0.0285,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_12-17-27.wav
15.0,18.0,Spinus psaltria,Lesser Goldfinch,0.0276,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_12-17-27.wav
15.0,18.0,Phoenicurus phoenicurus,Common Redstart,0.0245,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_12-17-27.wav
18.0,20.0,Porzana porzana,Spotted Crake,0.0160,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_12-17-27.wav
18.0,20.0,Diglossa albilatera,White-sided Flowerpiercer,0.0087,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_12-17-27.wav
18.0,20.0,Asthenes fuliginosa,White-chinned Thistletail,0.0071,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_12-17-27.wav
18.0,20.0,Aulacorhynchus albivitta,Southern Emerald-Toucanet,0.0070,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_12-17-27.wav
18.0,20.0,Myrmotherula cherriei,Cherrie's Antwren,0.0065,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_12-17-27.wav
